,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
960,1273724B,2021,Zayed Cricket Stadium,Australia,South Africa,28,2,55,3,38,0,121,5,Australia,field,Abu Dhabi,Australia,ICC Men's T20 World Cup,1273724,B,Zayed Cricket Stadium,Abu Dhabi
961,951313A,2016,Vidarbha Cricket Association Stadium,Zimbabwe,Scotland,30,2,84,3,33,2,147,7,Zimbabwe,bat,Nagpur,Zimbabwe,World T20,951313,A,Vidarbha Cricket Association Stadium,Nagpur
961,951313B,2016,Vidarbha Cricket Association Stadium,Scotland,Zimbabwe,28,4,72,3,36,3,136,10,Zimbabwe,bat,Nagpur,Zimbabwe,World T20,951313,B,Vidarbha Cricket Association Stadium,Nagpur
962,1278671A,2021,Sawai Mansingh Stadium,New Zealand,India,41,1,89,1,34,3,164,5,India,field,Jaipur,India,New Zealand tour of India,1278671,A,Sawai Mansingh Stadium,Jaipur
962,1278671B,2021,Sawai Mansingh Stadium,India,New Zealand,56,1,86,1,24,3,166,5,India,field,Jaipur,India,New Zealand tour of India,1278671,B,Sawai Mansingh Stadium,Jaipur
963,951307A,2016,Vidarbha Cricket Association Stadium,Afghanistan,Scotland,41,1,87,2,42,2,170,5,Afghanistan,bat,Nagpur,Afghanistan,ICC World Twenty20,951307,A,Vidarbha Cricket Association Stadium,Nagpur
963,951307B,2016,Vidarbha Cricket Association Stadium,Scotland,Afghanistan,60,0,66,3,30,1,156,4,Afghanistan,bat,Nagpur,Afghanistan,ICC World Twenty20,951307,B,Vidarbha Cricket Association Stadium,Nagpur
964,1273730A,2021,Sharjah Cricket Stadium,New Zealand,Pakistan,42,1,65,3,27,4,134,8,Pakistan,field,Sharjah,Pakistan,ICC Men's T20 World Cup,1273730,A,Sharjah Cricket Stadium,Sharjah
964,1273730B,2021,Sharjah Cricket Stadium,Pakistan,New Zealand,30,1,68,1,37,0,135,2,Pakistan,field,Sharjah,Pakistan,ICC Men's T20 World Cup,1273730,B,Sharjah Cricket Stadium,Sharjah
965,1074965A,2017,Dubai International Cricket Stadium,Ireland,United Arab Emirates,43,1,85,4,32,1,160,6,Ireland,bat,,Ireland,Desert T20 Challenge,1074965,A,Dubai International Cricket Stadium,-
965,1074965B,2017,Dubai International Cricket Stadium,United Arab Emirates,Ireland,30,4,53,2,53,0,136,6,Ireland,bat,,Ireland,Desert T20 Challenge,1074965,B,Dubai International Cricket Stadium,-
966,406198A,2010,Sydney Cricket Ground,West Indies,Australia,35,2,58,4,45,1,138,7,West Indies,bat,,Australia,West Indies in Australia T20I Series,406198,A,Sydney Cricket Ground,-
966,406198B,2010,Sydney Cricket Ground,Australia,West Indies,83,0,59,2,0,0,142,2,West Indies,bat,,Australia,West Indies in Australia T20I Series,406198,B,Sydney Cricket Ground,-
967,1273718A,2021,Zayed Cricket Stadium,Netherlands,Namibia,45,1,76,1,43,2,164,4,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273718,A,Zayed Cricket Stadium,Abu Dhabi
967,1273718B,2021,Zayed Cricket Stadium,Namibia,Netherlands,41,1,94,2,31,1,166,4,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273718,B,Zayed Cricket Stadium,Abu Dhabi
968,569239A,2013,Westpac Stadium,New Zealand,England,30,1,72,4,37,3,139,8,England,field,Wellington,England,England in New Zealand T20I Series,569239,A,Westpac Stadium,Wellington
968,569239B,2013,Westpac Stadium,England,New Zealand,60,0,83,0,0,0,143,0,England,field,Wellington,England,England in New Zealand T20I Series,569239,B,Westpac Stadium,Wellington
969,1074971A,2017,Dubai International Cricket Stadium,Ireland,Afghanistan,41,4,30,5,0,0,71,9,Ireland,bat,,Afghanistan,Desert T20 Challenge,1074971,A,Dubai International Cricket Stadium,-
969,1074971B,2017,Dubai International Cricket Stadium,Afghanistan,Ireland,64,0,11,0,0,0,75,0,Ireland,bat,,Afghanistan,Desert T20 Challenge,1074971,B,Dubai International Cricket Stadium,-
970,1272374A,2021,Castle Avenue,Zimbabwe,Ireland,39,2,64,2,49,0,152,4,Zimbabwe,bat,Dublin,Ireland,Zimbabwe tour of Ireland and Scotland,1272374,A,Castle Avenue,Dublin
970,1272374B,2021,Castle Avenue,Ireland,Zimbabwe,53,0,78,3,22,0,153,3,Zimbabwe,bat,Dublin,Ireland,Zimbabwe tour of Ireland and Scotland,1272374,B,Castle Avenue,Dublin
971,623571A,2013,Queens Sports Club,Zimbabwe,Bangladesh,48,1,85,3,35,1,168,5,Zimbabwe,bat,Bulawayo,Zimbabwe,Bangladesh in Zimbabwe T20I Series,623571,A,Queens Sports Club,Bulawayo
971,623571B,2013,Queens Sports Club,Bangladesh,Zimbabwe,49,1,81,4,32,2,162,7,Zimbabwe,bat,Bulawayo,Zimbabwe,Bangladesh in Zimbabwe T20I Series,623571,B,Queens Sports Club,Bulawayo
972,412700A,2010,Beausejour Stadium,West Indies,Australia,40,2,51,7,14,1,105,10,West Indies,bat,St Lucia,Australia,ICC World Twenty20,412700,A,Beausejour Stadium,St Lucia
972,412700B,2010,Beausejour Stadium,Australia,West Indies,37,2,67,1,5,1,109,4,West Indies,bat,St Lucia,Australia,ICC World Twenty20,412700,B,Beausejour Stadium,St Lucia
973,1298154A,2022,Melbourne Cricket Ground,Ireland,England,59,1,74,4,24,5,157,10,England,field,Melbourne,Ireland,ICC Men's T20 World Cup,1298154,A,Melbourne Cricket Ground,Melbourne
973,1298154B,2022,Melbourne Cricket Ground,England,Ireland,37,3,68,2,0,0,105,5,England,field,Melbourne,Ireland,ICC Men's T20 World Cup,1298154,B,Melbourne Cricket Ground,Melbourne
974,1298140A,2022,GMHBA Stadium,Sri Lanka,United Arab Emirates,52,0,69,5,31,2,152,7,United Arab Emirates,field,Geelong,Sri Lanka,ICC Men's T20 World Cup,1298140,A,GMHBA Stadium,Geelong
974,1298140B,2022,GMHBA Stadium,United Arab Emirates,Sri Lanka,23,4,40,3,10,1,73,8,United Arab Emirates,field,Geelong,Sri Lanka,ICC Men's T20 World Cup,1298140,B,GMHBA Stadium,Geelong
975,1279382A,2021,Happy Valley Ground,Estonia,Isle of Man,43,1,56,4,19,2,118,7,Estonia,bat,Episkopi,Isle of Man,Cyprus T20 Tri-Series,1279382,A,Happy Valley Ground,Episkopi
975,1279382B,2021,Happy Valley Ground,Isle of Man,Estonia,42,0,80,3,0,0,122,3,Estonia,bat,Episkopi,Isle of Man,Cyprus T20 Tri-Series,1279382,B,Happy Valley Ground,Episkopi
976,1172509A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Ireland,79,0,71,5,32,3,182,8,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1172509,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
976,1172509B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Netherlands,59,1,84,2,40,6,183,9,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1172509,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
977,1298168A,2022,Adelaide Oval,Zimbabwe,Netherlands,20,2,78,4,19,3,117,9,Zimbabwe,bat,Adelaide,Netherlands,ICC Men's T20 World Cup,1298168,A,Adelaide Oval,Adelaide
977,1298168B,2022,Adelaide Oval,Netherlands,Zimbabwe,35,1,80,3,5,1,120,5,Zimbabwe,bat,Adelaide,Netherlands,ICC Men's T20 World Cup,1298168,B,Adelaide Oval,Adelaide
978,1185181A,2019,King George V Sports Ground,Guernsey,Germany,38,0,64,4,15,6,117,10,Germany,field,Castel,Germany,ICC Men's T20 World Cup Europe Region Final,1185181,A,King George V Sports Ground,Castel
978,1185181B,2019,King George V Sports Ground,Germany,Guernsey,35,1,72,3,12,0,119,4,Germany,field,Castel,Germany,ICC Men's T20 World Cup Europe Region Final,1185181,B,King George V Sports Ground,Castel
979,1186488A,2019,Kinrara Academy Oval,Thailand,Malaysia,30,1,72,2,11,4,113,7,Malaysia,field,Kuala Lumpur,Malaysia,Malaysia Tri-Nation T20I Series,1186488,A,Kinrara Academy Oval,Kuala Lumpur
979,1186488B,2019,Kinrara Academy Oval,Malaysia,Thailand,28,3,70,2,16,0,114,5,Malaysia,field,Kuala Lumpur,Malaysia,Malaysia Tri-Nation T20I Series,1186488,B,Kinrara Academy Oval,Kuala Lumpur
980,1273136A,2021,Gucherre Cricket Ground,Gibraltar,Malta,32,1,87,0,29,4,148,5,Malta,field,Albergaria,Malta,Portugal T20 Tri-Series,1273136,A,Gucherre Cricket Ground,Albergaria
980,1273136B,2021,Gucherre Cricket Ground,Malta,Gibraltar,41,0,89,2,19,0,149,2,Malta,field,Albergaria,Malta,Portugal T20 Tri-Series,1273136,B,Gucherre Cricket Ground,Albergaria
981,1184260A,2019,Lugogo Cricket Oval,Uganda,Botswana,41,2,70,3,31,2,142,7,Botswana,field,Kampala,Uganda,ICC Men's T20 World Cup Africa Region Final,1184260,A,Lugogo Cricket Oval,Kampala
981,1184260B,2019,Lugogo Cricket Oval,Botswana,Uganda,35,2,49,4,6,3,90,9,Botswana,field,Kampala,Uganda,ICC Men's T20 World Cup Africa Region Final,1184260,B,Lugogo Cricket Oval,Kampala
982,1189744A,2019,King George V Sports Ground,Denmark,Italy,44,2,88,3,26,4,158,9,Denmark,bat,Castel,Denmark,ICC Men's T20 World Cup Europe Region Final,1189744,A,King George V Sports Ground,Castel
982,1189744B,2019,King George V Sports Ground,Italy,Denmark,38,2,71,4,19,4,128,10,Denmark,bat,Castel,Denmark,ICC Men's T20 World Cup Europe Region Final,1189744,B,King George V Sports Ground,Castel
983,1199543A,2019,Dubai International Cricket Stadium,Scotland,United Arab Emirates,46,0,99,2,53,4,198,6,Scotland,bat,Dubai,Scotland,ICC Men's T20 World Cup Qualifier,1199543,A,Dubai International Cricket Stadium,Dubai
983,1199543B,2019,Dubai International Cricket Stadium,United Arab Emirates,Scotland,35,2,54,6,19,2,108,10,Scotland,bat,Dubai,Scotland,ICC Men's T20 World Cup Qualifier,1199543,B,Dubai International Cricket Stadium,Dubai
984,668969A,2013,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,42,2,59,3,41,1,142,6,Sri Lanka,field,,Sri Lanka,New Zealand in Sri Lanka T20I Series,668969,A,Pallekele International Cricket Stadium,-
984,668969B,2013,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,54,0,73,1,16,0,143,1,Sri Lanka,field,,Sri Lanka,New Zealand in Sri Lanka T20I Series,668969,B,Pallekele International Cricket Stadium,-
985,1327229A,2022,National Stadium,England,Pakistan,48,2,103,2,48,1,199,5,England,bat,Karachi,Pakistan,England tour of Pakistan,1327229,A,National Stadium,Karachi
985,1327229B,2022,National Stadium,Pakistan,England,59,0,105,0,39,0,203,0,England,bat,Karachi,Pakistan,England tour of Pakistan,1327229,B,National Stadium,Karachi
986,1089778A,2017,Warner Park,Afghanistan,West Indies,48,1,60,2,38,2,146,5,Afghanistan,bat,St Kitts,West Indies,Afghanistan in West Indies T20I Series,1089778,A,Warner Park,Basseterre
986,1089778B,2017,Warner Park,West Indies,Afghanistan,38,1,82,1,27,0,147,2,Afghanistan,bat,St Kitts,West Indies,Afghanistan in West Indies T20I Series,1089778,B,Warner Park,Basseterre
987,1320977A,2022,Meersen,Portugal,Spain,35,2,36,4,6,2,77,8,Portugal,bat,Ghent,Spain,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320977,A,Meersen,Ghent
987,1320977B,2022,Meersen,Spain,Portugal,44,2,34,0,0,0,78,2,Portugal,bat,Ghent,Spain,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320977,B,Meersen,Ghent
988,1333923A,2022,Independence Park,Samoa,Fiji,48,2,68,1,26,3,142,6,Samoa,bat,Port Vila,Fiji,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333923,A,Independence Park,Port Vila
988,1333923B,2022,Independence Park,Fiji,Samoa,34,1,76,3,35,3,145,7,Samoa,bat,Port Vila,Fiji,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333923,B,Independence Park,Port Vila
989,319142A,2008,Kensington Oval,Australia,West Indies,57,1,40,2,0,0,97,3,West Indies,field,Barbados,West Indies,,319142,A,Kensington Oval,Bridgetown
989,319142B,2008,Kensington Oval,West Indies,Australia,65,3,37,0,0,0,102,3,West Indies,field,Barbados,West Indies,,319142,B,Kensington Oval,Bridgetown
990,520598A,2012,Seddon Park,New Zealand,South Africa,49,1,81,2,43,1,173,4,South Africa,field,Hamilton,South Africa,South Africa in New Zealand T20I Series,520598,A,Seddon Park,Hamilton
990,520598B,2012,Seddon Park,South Africa,New Zealand,63,2,111,0,0,0,174,2,South Africa,field,Hamilton,South Africa,South Africa in New Zealand T20I Series,520598,B,Seddon Park,Hamilton
991,722337A,2015,New Wanderers Stadium,South Africa,West Indies,69,2,129,2,33,3,231,7,West Indies,field,Johannesburg,West Indies,West Indies in South Africa T20I Series,722337,A,New Wanderers Stadium,Johannesburg
991,722337B,2015,New Wanderers Stadium,West Indies,South Africa,86,0,100,3,50,2,236,5,West Indies,field,Johannesburg,West Indies,West Indies in South Africa T20I Series,722337,B,New Wanderers Stadium,Johannesburg
992,1283038A,2021,Gahanga International Cricket Stadium. Rwanda,Swaziland,Rwanda,39,3,30,5,8,1,77,9,Swaziland,bat,Kigali City,Rwanda,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283038,A,Gahanga International Cricket Stadium. Rwanda,Kigali City
992,1283038B,2021,Gahanga International Cricket Stadium. Rwanda,Rwanda,Swaziland,61,1,18,1,0,0,79,2,Swaziland,bat,Kigali City,Rwanda,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283038,B,Gahanga International Cricket Stadium. Rwanda,Kigali City
993,533296A,2012,R Premadasa Stadium,Sri Lanka,Pakistan,34,0,73,2,32,1,139,3,Sri Lanka,bat,Colombo,Sri Lanka,ICC World Twenty20,533296,A,R Premadasa Stadium,Colombo
993,533296B,2012,R Premadasa Stadium,Pakistan,Sri Lanka,31,1,70,4,22,1,123,6,Sri Lanka,bat,Colombo,Sri Lanka,ICC World Twenty20,533296,B,R Premadasa Stadium,Colombo
994,1321466A,2022,Bulawayo Athletic Club,Jersey,United States of America,29,1,78,2,47,0,154,3,United States of America,field,Bulawayo,United States of America,ICC Men's T20 World Cup Qualifier,1321466,A,Bulawayo Athletic Club,Bulawayo
994,1321466B,2022,Bulawayo Athletic Club,United States of America,Jersey,39,0,96,1,24,1,159,2,United States of America,field,Bulawayo,United States of America,ICC Men's T20 World Cup Qualifier,1321466,B,Bulawayo Athletic Club,Bulawayo
995,1190771A,2019,Indian Association Ground,Malaysia,Nepal,55,4,28,2,0,0,83,6,Nepal,field,Singapore,Nepal,ICC Men's T20 World Cup Asia Region Final,1190771,A,Indian Association Ground,Singapore
995,1190771B,2019,Indian Association Ground,Nepal,Malaysia,69,2,17,1,0,0,86,3,Nepal,field,Singapore,Nepal,ICC Men's T20 World Cup Asia Region Final,1190771,B,Indian Association Ground,Singapore
996,1321472A,2022,Bulawayo Athletic Club,Uganda,Papua New Guinea,32,1,84,0,44,2,160,3,Papua New Guinea,field,Bulawayo,Papua New Guinea,ICC Men's T20 World Cup Qualifier,1321472,A,Bulawayo Athletic Club,Bulawayo
996,1321472B,2022,Bulawayo Athletic Club,Papua New Guinea,Uganda,35,0,117,0,9,0,161,0,Papua New Guinea,field,Bulawayo,Papua New Guinea,ICC Men's T20 World Cup Qualifier,1321472,B,Bulawayo Athletic Club,Bulawayo
997,1320988A,2022,Royal Brussels Cricket Club Ground,Portugal,Denmark,41,1,33,5,36,3,110,9,Portugal,bat,Waterloo,Denmark,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320988,A,Royal Brussels Cricket Club Ground,Waterloo
997,1320988B,2022,Royal Brussels Cricket Club Ground,Denmark,Portugal,44,1,67,0,0,0,111,1,Portugal,bat,Waterloo,Denmark,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320988,B,Royal Brussels Cricket Club Ground,Waterloo
998,523735A,2011,Harare Sports Club,Pakistan,Zimbabwe,72,0,80,2,46,1,198,3,Zimbabwe,field,,Pakistan,Pakistan in Zimbabwe T20I Series,523735,A,Harare Sports Club,-
998,523735B,2011,Harare Sports Club,Zimbabwe,Pakistan,46,3,67,6,0,0,113,9,Zimbabwe,field,,Pakistan,Pakistan in Zimbabwe T20I Series,523735,B,Harare Sports Club,-
999,1321473A,2022,Queens Sports Club,Netherlands,Uganda,45,1,90,1,52,1,187,3,Uganda,field,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier,1321473,A,Queens Sports Club,Bulawayo
999,1321473B,2022,Queens Sports Club,Uganda,Netherlands,24,4,49,2,17,2,90,8,Uganda,field,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier,1321473,B,Queens Sports Club,Bulawayo
1000,1321301A,2022,Tikkurila Cricket Ground,Bulgaria,Czech Republic,33,2,72,3,12,5,117,10,Bulgaria,bat,Vantaa,Czech Republic,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321301,A,Tikkurila Cricket Ground,Vantaa
1000,1321301B,2022,Tikkurila Cricket Ground,Czech Republic,Bulgaria,36,2,64,3,18,1,118,6,Bulgaria,bat,Vantaa,Czech Republic,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321301,B,Tikkurila Cricket Ground,Vantaa
1001,1321467A,2022,Queens Sports Club,Netherlands,Papua New Guinea,62,0,63,6,38,1,163,7,Netherlands,bat,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier,1321467,A,Queens Sports Club,Bulawayo
1001,1321467B,2022,Queens Sports Club,Papua New Guinea,Netherlands,29,2,65,3,17,5,111,10,Netherlands,bat,Bulawayo,Netherlands,ICC Men's T20 World Cup Qualifier,1321467,B,Queens Sports Club,Bulawayo
1002,533297A,2012,R Premadasa Stadium,West Indies,Australia,46,1,96,2,63,1,205,4,West Indies,bat,Colombo,West Indies,ICC World Twenty20,533297,A,R Premadasa Stadium,Colombo
1002,533297B,2012,R Premadasa Stadium,Australia,West Indies,42,3,85,6,4,1,131,10,West Indies,bat,Colombo,West Indies,ICC World Twenty20,533297,B,R Premadasa Stadium,Colombo
1003,1283039A,2021,Integrated Polytechnic Regional Centre,Malawi,Lesotho,39,1,84,3,0,0,123,4,Lesotho,field,Kigali City,Malawi,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283039,A,Integrated Polytechnic Regional Centre,Kigali City
1003,1283039B,2021,Integrated Polytechnic Regional Centre,Lesotho,Malawi,48,0,53,7,0,0,101,7,Lesotho,field,Kigali City,Malawi,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283039,B,Integrated Polytechnic Regional Centre,Kigali City
1004,520599A,2012,Eden Park,South Africa,New Zealand,54,2,83,3,28,1,165,6,New Zealand,field,Auckland,South Africa,South Africa in New Zealand T20I Series,520599,A,Eden Park,Auckland
1004,520599B,2012,Eden Park,New Zealand,South Africa,65,1,84,3,13,3,162,7,New Zealand,field,Auckland,South Africa,South Africa in New Zealand T20I Series,520599,B,Eden Park,Auckland
1005,533283A,2012,Pallekele International Cricket Stadium,Bangladesh,Pakistan,61,2,75,2,39,2,175,6,Bangladesh,bat,,Pakistan,ICC World Twenty20,533283,A,Pallekele International Cricket Stadium,-
1005,533283B,2012,Pallekele International Cricket Stadium,Pakistan,Bangladesh,64,0,86,2,28,0,178,2,Bangladesh,bat,,Pakistan,ICC World Twenty20,533283,B,Pallekele International Cricket Stadium,-
1006,1333922A,2022,Independence Park,Vanuatu,Cook Islands,43,3,64,3,20,4,127,10,Vanuatu,bat,Port Vila,Cook Islands,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333922,A,Independence Park,Port Vila
1006,1333922B,2022,Independence Park,Cook Islands,Vanuatu,71,1,56,3,1,0,128,4,Vanuatu,bat,Port Vila,Cook Islands,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A,1333922,B,Independence Park,Port Vila
1007,1320976A,2022,Royal Brussels Cricket Club Ground,Hungary,Belgium,21,2,72,2,27,3,120,7,Hungary,bat,Waterloo,Belgium,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320976,A,Royal Brussels Cricket Club Ground,Waterloo
1007,1320976B,2022,Royal Brussels Cricket Club Ground,Belgium,Hungary,36,4,53,2,34,2,123,8,Hungary,bat,Waterloo,Belgium,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C,1320976,B,Royal Brussels Cricket Club Ground,Waterloo
1008,1307477A,2022,Grange Cricket Club Ground,New Zealand,Scotland,48,0,110,2,67,3,225,5,Scotland,field,Edinburgh,New Zealand,New Zealand tour of Scotland,1307477,A,Grange Cricket Club Ground,Edinburgh
1008,1307477B,2022,Grange Cricket Club Ground,Scotland,New Zealand,46,0,75,6,36,2,157,8,Scotland,field,Edinburgh,New Zealand,New Zealand tour of Scotland,1307477,B,Grange Cricket Club Ground,Edinburgh
1009,1198489A,2019,Gaddafi Stadium,Sri Lanka,Pakistan,64,0,71,1,30,2,165,3,Pakistan,field,Lahore,Sri Lanka,Sri Lanka tour of Pakistan,1198489,A,Gaddafi Stadium,Lahore
1009,1198489B,2019,Gaddafi Stadium,Pakistan,Sri Lanka,30,2,60,4,11,3,101,9,Pakistan,field,Lahore,Sri Lanka,Sri Lanka tour of Pakistan,1198489,B,Gaddafi Stadium,Lahore
1010,1183526A,2019,Melbourne Cricket Ground,Sri Lanka,Australia,41,2,69,2,32,2,142,6,Australia,field,Melbourne,Australia,Sri Lanka tour of Australia,1183526,A,Melbourne Cricket Ground,Melbourne
1010,1183526B,2019,Melbourne Cricket Ground,Australia,Sri Lanka,40,0,92,2,13,0,145,2,Australia,field,Melbourne,Australia,Sri Lanka tour of Australia,1183526,B,Melbourne Cricket Ground,Melbourne
1011,659545A,2013,Harare Sports Club,Pakistan,Zimbabwe,37,2,87,2,37,1,161,5,Zimbabwe,field,,Pakistan,Pakistan in Zimbabwe T20I Series,659545,A,Harare Sports Club,-
1011,659545B,2013,Harare Sports Club,Zimbabwe,Pakistan,42,0,62,1,32,2,136,3,Zimbabwe,field,,Pakistan,Pakistan in Zimbabwe T20I Series,659545,B,Harare Sports Club,-
1012,1327228A,2022,National Stadium,Pakistan,England,51,0,74,4,33,3,158,7,England,field,Karachi,England,England tour of Pakistan,1327228,A,National Stadium,Karachi
1012,1327228B,2022,National Stadium,England,Pakistan,47,1,89,1,24,1,160,3,England,field,Karachi,England,England tour of Pakistan,1327228,B,National Stadium,Karachi
1013,251488A,2006,Eden Park,Sri Lanka,New Zealand,40,3,60,5,15,2,115,10,New Zealand,field,Auckland,New Zealand,Sri Lanka in New Zealand T20I Series,251488,A,Eden Park,Auckland
1013,251488B,2006,Eden Park,New Zealand,Sri Lanka,51,1,42,4,23,0,116,5,New Zealand,field,Auckland,New Zealand,Sri Lanka in New Zealand T20I Series,251488,B,Eden Park,Auckland
1014,1262760A,2021,R Premadasa Stadium,India,Sri Lanka,29,1,33,3,19,1,81,5,India,bat,Colombo,Sri Lanka,India tour of Sri Lanka,1262760,A,R Premadasa Stadium,Colombo
1014,1262760B,2021,R Premadasa Stadium,Sri Lanka,India,23,1,59,1,0,0,82,2,India,bat,Colombo,Sri Lanka,India tour of Sri Lanka,1262760,B,R Premadasa Stadium,Colombo
1015,742617A,2014,Dubai International Cricket Stadium,New Zealand,Pakistan,34,1,79,2,22,2,135,5,Pakistan,field,,Pakistan,Pakistan v New Zealand T20I Series,742617,A,Dubai International Cricket Stadium,-
